gene_callers_id	detection
231728	DETECTED
231729	DETECTED
231730	DETECTED
231731	DETECTED
231732	DETECTED
231733	DETECTED
231734	DETECTED
231735	DETECTED
231736	DETECTED
231737	DETECTED
231738	DETECTED
231739	DETECTED
231740	DETECTED
231741	NOT DETECTED
231742	NOT DETECTED
231743	NOT DETECTED
231744	NOT DETECTED
231745	NOT DETECTED
231746	NOT DETECTED
231747	NOT DETECTED
231748	NOT DETECTED
231749	NOT DETECTED
231750	NOT DETECTED
231751	NOT DETECTED
231752	NOT DETECTED
231753	DETECTED
231754	DETECTED
231755	DETECTED
231756	DETECTED
231757	NOT DETECTED
231758	NOT DETECTED
231759	NOT DETECTED
231760	NOT DETECTED
231761	NOT DETECTED
231762	NOT DETECTED
231763	NOT DETECTED
231764	NOT DETECTED
231765	NOT DETECTED
231766	NOT DETECTED
231767	DETECTED
231768	DETECTED
231769	DETECTED
231770	DETECTED
231771	DETECTED
231772	DETECTED
231773	DETECTED
231774	DETECTED
231775	DETECTED
231776	DETECTED
231777	DETECTED
231778	DETECTED
231779	DETECTED
231780	DETECTED
231781	DETECTED
231782	DETECTED
231783	DETECTED
231784	DETECTED
231785	DETECTED
231786	DETECTED
231787	DETECTED
231788	DETECTED
231789	DETECTED
231790	DETECTED
231791	DETECTED
231792	NOT DETECTED
231793	NOT DETECTED
231794	NOT DETECTED
231795	DETECTED
231796	DETECTED
231797	DETECTED
231798	DETECTED
231799	DETECTED
231800	DETECTED
231801	DETECTED
231802	DETECTED
231803	DETECTED
231804	DETECTED
231805	DETECTED
231806	DETECTED
231807	DETECTED
231808	DETECTED
231809	DETECTED
231810	DETECTED
231811	DETECTED
231812	DETECTED
231813	DETECTED
231814	DETECTED
231815	DETECTED
231816	DETECTED
231817	DETECTED
231818	DETECTED
231819	DETECTED
231820	DETECTED
231821	DETECTED
231822	DETECTED
231823	DETECTED
231824	DETECTED
231825	DETECTED
231826	DETECTED
231827	DETECTED
231828	DETECTED
231829	DETECTED
231830	DETECTED
231831	DETECTED
231832	DETECTED
231833	DETECTED
231834	DETECTED
231835	DETECTED
231836	DETECTED
231837	DETECTED
231838	DETECTED
